entity_id,age,country,account_plan,tenure_days,email_verified
user_00000,74,DE,pro,453,True
user_00001,46,AU,pro,2588,False
user_00002,21,AU,free,2628,True
user_00003,58,BR,basic,1867,True
user_00004,69,US,free,2606,True
user_00005,61,US,free,161,True
user_00006,35,JP,free,3374,True
user_00007,66,AU,free,2738,True
user_00008,44,BR,pro,1970,False
user_00009,72,BR,free,2202,True
user_00010,71,US,pro,105,True
user_00011,43,US,free,102,True
user_00012,45,AU,pro,2932,True
user_00013,33,UK,free,2508,False
user_00014,47,CA,basic,2014,True
user_00015,20,BR,free,2190,True
user_00016,30,BR,free,1134,True
user_00017,41,BR,free,368,True
user_00018,38,FR,basic,612,False
user_00019,33,AU,basic,1807,True
user_00020,22,BR,basic,1570,True
user_00021,40,DE,free,1985,True
user_00022,39,FR,free,870,True
user_00023,74,AU,pro,116,True
user_00024,23,AU,basic,294,True
user_00025,23,UK,free,44,False
user_00026,20,US,basic,3591,False
user_00027,53,JP,free,2584,True
user_00028,47,UK,basic,1074,True
user_00029,66,JP,basic,3075,False
user_00030,64,AU,basic,2650,True
user_00031,49,DE,basic,3609,True
user_00032,23,JP,free,3565,True
user_00033,34,AU,free,3190,False
user_00034,65,US,free,3603,True
user_00035,54,JP,free,3035,False
user_00036,69,AU,free,3030,False
user_00037,64,BR,free,1466,True
user_00038,44,UK,pro,1593,True
user_00039,41,JP,free,1030,True
user_00040,44,FR,free,1860,True
user_00041,46,DE,pro,78,True
user_00042,66,CA,free,1285,True
user_00043,51,DE,free,129,True
user_00044,51,AU,basic,1883,True
user_00045,35,US,enterprise,703,True
user_00046,35,AU,free,1546,True
user_00047,49,JP,free,910,True
user_00048,71,JP,basic,2699,True
user_00049,74,BR,free,3387,True
user_00050,51,BR,free,327,False
user_00051,49,DE,free,346,True
user_00052,43,BR,free,2771,True
user_00053,31,UK,enterprise,3135,True
user_00054,24,FR,basic,3353,True
user_00055,59,FR,basic,2235,True
user_00056,35,FR,free,2599,True
user_00057,27,DE,enterprise,2045,True
user_00058,61,CA,basic,3499,True
user_00059,24,US,free,409,True
user_00060,40,JP,free,2492,True
user_00061,69,US,enterprise,1654,True
user_00062,37,BR,free,1461,True
user_00063,36,US,free,808,True
user_00064,27,AU,free,663,True
user_00065,73,UK,free,3368,True
user_00066,57,CA,free,2983,False
user_00067,30,US,free,2251,True
user_00068,44,CA,free,2545,True
user_00069,19,FR,free,3104,True
user_00070,65,AU,pro,1313,True
user_00071,28,BR,basic,891,True
user_00072,46,US,free,872,True
user_00073,27,US,pro,16,True
user_00074,72,CA,free,1972,False
user_00075,68,FR,basic,810,True
user_00076,47,AU,free,1667,True
user_00077,59,JP,basic,2522,True
user_00078,35,AU,enterprise,1910,True
user_00079,22,AU,free,2464,True
user_00080,33,FR,free,3090,True
user_00081,73,DE,basic,1158,True
user_00082,26,AU,enterprise,2757,True
user_00083,43,JP,enterprise,3600,True
user_00084,20,JP,basic,1657,True
user_00085,72,JP,enterprise,896,True
user_00086,69,JP,free,2889,True
